ts,phase,delta_p,delta_q
2026-06-13T20:39:57,2,-374.46,9.29
2026-06-13T20:42:54,2,973.5,302.8
2026-06-13T20:44:30,2,-950.48,-315.86
2026-06-13T20:45:11,2,1357.52,16.35
2026-06-13T20:48:22,2,-1361.89,-84.36
2026-06-13T20:49:05,2,1348.37,70.08
2026-06-13T20:50:15,2,-1304.0,-50.22
2026-06-13T20:50:52,2,1280.97,11.34
2026-06-13T20:51:50,2,-1299.62,-40.58
2026-06-13T20:52:27,2,1293.34,68.1
2026-06-13T20:53:17,2,-1309.22,-95.59
2026-06-13T20:53:55,2,1305.01,48.35
2026-06-13T20:54:38,2,-1306.43,-45.61
2026-06-13T20:55:17,2,1311.07,33.93
2026-06-13T20:56:00,2,-1301.46,-35.72
2026-06-14T07:40:18,2,397.77,-60.52
2026-06-14T07:52:04,2,-439.02,-34.43
2026-06-14T08:14:15,2,1791.83,75.63
2026-06-14T08:15:11,2,223.85,-46.92
2026-06-14T08:17:22,2,-1793.19,-186.19
2026-06-14T09:51:05,2,2116.78,26.9
2026-06-14T09:59:44,2,-1991.07,-175.88
